id,tl,structure,age,cmgroup
1489,NA,NA,NA,310
1490,NA,NA,NA,410
1491,NA,NA,NA,470
1492,NA,NA,NA,980
1493,NA,NA,NA,230
1494,NA,NA,NA,250
1495,NA,NA,NA,270
1496,NA,NA,NA,280
1497,NA,NA,NA,310
1498,NA,NA,NA,320
1499,NA,NA,NA,380
1500,NA,NA,NA,410
1501,NA,NA,NA,430
1502,NA,NA,NA,540
1503,NA,NA,NA,180
1504,NA,NA,NA,230
1505,NA,NA,NA,240
1506,NA,NA,NA,260
1507,NA,NA,NA,290
1508,NA,NA,NA,300
1509,NA,NA,NA,310
1510,NA,NA,NA,330
1511,NA,NA,NA,410
1512,NA,NA,NA,440
1513,NA,NA,NA,450
1514,NA,NA,NA,480
1515,NA,NA,NA,500
1516,NA,NA,NA,590
1517,NA,NA,NA,170
1518,NA,NA,NA,210
1519,NA,NA,NA,270
1520,NA,NA,NA,330
1521,NA,NA,NA,430
1522,NA,NA,NA,560
1523,NA,NA,NA,280
1524,NA,NA,NA,290
1525,NA,NA,NA,310
1526,NA,NA,NA,320
1527,NA,NA,NA,340
1528,NA,NA,NA,400
1529,NA,NA,NA,430
1530,NA,NA,NA,640
1531,NA,NA,NA,240
1532,NA,NA,NA,280
1533,NA,NA,NA,410
1534,NA,NA,NA,450
1535,NA,NA,NA,170
1536,NA,NA,NA,260
1537,NA,NA,NA,290
1538,NA,NA,NA,310
1539,NA,NA,NA,390
1540,NA,NA,NA,420
1541,NA,NA,NA,470
1542,NA,NA,NA,490
1543,NA,NA,NA,520
1544,NA,NA,NA,550
1545,NA,NA,NA,180
1546,NA,NA,NA,210
1547,NA,NA,NA,320
1548,NA,NA,NA,410
1549,NA,NA,NA,540
1550,NA,NA,NA,1000
1551,NA,NA,NA,798
1552,NA,NA,NA,240
1553,NA,NA,NA,270
1554,NA,NA,NA,290
1555,NA,NA,NA,300
1556,NA,NA,NA,320
1557,NA,NA,NA,400
1558,NA,NA,NA,680
1559,NA,NA,NA,230
1560,NA,NA,NA,240
1561,NA,NA,NA,250
1562,NA,NA,NA,380
1563,NA,NA,NA,420
1564,NA,NA,NA,430
1565,NA,NA,NA,480
1566,NA,NA,NA,580
1567,NA,NA,NA,240
1568,NA,NA,NA,300
1569,NA,NA,NA,330
1570,NA,NA,NA,430
1571,NA,NA,NA,450
1572,NA,NA,NA,470
1573,NA,NA,NA,560
1574,NA,NA,NA,150
1575,NA,NA,NA,160
1576,NA,NA,NA,230
1577,NA,NA,NA,240
1578,NA,NA,NA,260
1579,NA,NA,NA,460
1580,NA,NA,NA,540
1581,NA,NA,NA,190
1582,NA,NA,NA,220
1583,NA,NA,NA,240
1584,NA,NA,NA,250
1585,NA,NA,NA,400
1586,NA,NA,NA,410
1587,NA,NA,NA,420
1588,NA,NA,NA,430
1589,NA,NA,NA,450
1590,NA,NA,NA,480
1591,NA,NA,NA,560
1592,NA,NA,NA,220
1593,NA,NA,NA,230
1594,NA,NA,NA,240
1595,NA,NA,NA,250
1596,NA,NA,NA,300
1597,NA,NA,NA,330
1598,NA,NA,NA,480
1599,NA,NA,NA,500
1600,NA,NA,NA,170
1601,NA,NA,NA,210
1602,NA,NA,NA,260
1603,NA,NA,NA,330
1604,NA,NA,NA,410
1605,NA,NA,NA,430
1606,NA,NA,NA,210
1607,NA,NA,NA,280
1608,NA,NA,NA,430
1609,NA,NA,NA,220
1610,NA,NA,NA,240
1611,NA,NA,NA,250
1612,NA,NA,NA,300
1613,NA,NA,NA,330
1614,NA,NA,NA,440
1615,NA,NA,NA,180
1616,NA,NA,NA,260
1617,NA,NA,NA,270
1618,NA,NA,NA,410
1619,NA,NA,NA,420
1620,NA,NA,NA,430
1621,NA,NA,NA,290
1622,NA,NA,NA,650
1623,NA,NA,NA,210
1624,NA,NA,NA,210
1625,NA,NA,NA,210
1626,NA,NA,NA,210
1627,NA,NA,NA,210
1628,NA,NA,NA,210
1629,NA,NA,NA,220
1630,NA,NA,NA,220
1631,NA,NA,NA,220
1632,NA,NA,NA,220
1633,NA,NA,NA,220
1634,NA,NA,NA,220
1635,NA,NA,NA,220
1636,NA,NA,NA,220
1637,NA,NA,NA,220
1638,NA,NA,NA,220
1639,NA,NA,NA,220
